codigo_cnuc;unidade_de_conservacao;categoria_uc_sigla_federal;gerencia_regional_icmbio;coordenacao_regional_icmbio;unidades_da_federacao;bioma_referencial;programa_monitora ;projetos_especiais;subprograma_terrestre; componente_florestal_alvo_global;componente_florestal_alvo_complementar; componente_campestre_savanico;florestal_ea_01_alvo_global_mamiferos_aves;florestal_ea_02_alvo_global_mamiferos_aves;florestal_ea_03_alvo_global_mamiferos_aves;florestal_ea_01_alvo_global_borboletas;florestal_ea_02_alvo_global_borboletas;florestal_ea_03_alvo_global_borboletas;florestal_ea_01_alvo_global_plantas_arboreas;florestal_ea_02_alvo_global_plantas_arboreas;florestal_ea_03_alvo_global_plantas_arboreas; florestal_alvo_complementar_castanha_da_amazonia;florestal_alvo_complementar_especies_cinegeticas;florestal_alvo_complementar_mamiferos_aves;campestre_savanico_alvo_global_plantas;subprograma_aquatico_continental;componente_igarape;componente_area_alagavel_alvo_global;componente_area_alagavel_alvo_complementar;igarape_alvo_global_odonatas;igarape_alvo_global_peixes;igarape_alvo_global_habitat;area_alagavel_alvo_global_pesca;area_alagavel_alvo_complementar_quelonios;area_alagavel_alvo_complementar_pirarucu;subprograma_marinho_costeiro;componente_manguezal;componente_ambiente_recifal;componente_praia;componente_ilha;alvo_transversal_pesca_biodiversidade_associada;manguezal_alvo_global_caranguejo_uca;manguezal_alvo_global_vegetacao_de_mangue; ambiente_recifal_alvo_global_peixes_invertebrados_substrato;praia_alvo_global_aves_limicolas ;praia_alvo_global_mamiferos_marinhos;ilha_alvo_global_aves_marinhas;praia_alvo_global_tartarugas
1;APA Anhatomirim;APA;GR 5;GR 5;SC;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1521;APA Bacia do Rio Paraiba do Sul;APA;GR 4;CR - Lagoa Santa;MG/RJ/SP;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;APA Barra do Rio Mamanguape;APA;GR 2;CR - Parnaíba;PB;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;APA Carste da Lagoa Santa;APA;GR 4;CR - Lagoa Santa;MG;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;APA Cavernas do Peruacu;APA;GR 4;CR - Lagoa Santa;MG;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;APA Chapada do Araripe;APA;GR 2;CR - Parnaíba ;PI/CE/PE;Caatinga;;GEF Terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;APA Costa das Algas;APA;GR 2;CR - Parnaíba ;ES;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;APA Costa dos Corais;APA;GR 2;CR - Parnaíba ;PE/AL;Marinho-Costeiro;Operação;GEF MAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;Operação;Operação;;;;Operação básico;Operação básico;Operação básico;;;;;
3;APA da Bacia do Rio Descoberto;APA;GR 4;CR - Lagoa Santa;GO/DF;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;APA da Bacia do Rio Sao Bartolomeu;APA;GR 4;Gestão transferida ao IBRAM;DF;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;APA da Bacia do Rio Sao Joao - Mico-Leao-Dourado;APA;GR 4;CR - Lagoa Santa;RJ;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;APA da Baleia Franca;APA;GR 5;GR 5;SC;Marinho-Costeiro;Parada;GEF MAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parada;;;;;Parada;;;;;;;
25;APA das Ilhas e Varzeas do Rio Parana;APA;GR 5;GR 5;SP/PR/MS;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;APA das Nascentes do Rio Vermelho;APA;GR 4;CR - Lagoa Santa;BA/GO;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;APA de Cairucu;APA;GR 4;CR - Lagoa Santa;RJ/SP;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;APA de Cananeia-Iguape-Peruibe;APA;GR 4;CR - Lagoa Santa;SP;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;APA de Fernando de Noronha  Rocas  São Pedro e São Paulo;APA;GR 2;CR - Parnaíba ;PE;Marinho-Costeiro;Operação;GEF MAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;Operação;;;Operação;Operação;Operação básico;;;;;;Operação básico e avançado;Operação básico e avançado
16;APA de Guapi-Mirim;APA;GR 4;CR - Lagoa Santa;RJ;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;APA de Guaraquecaba;APA;GR 5;GR 5;SP/PR;Mata Atlantica;Operação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Operação;Operação;;;;;Operação básico;Operação básico;;;;;
10;APA da Região Serrana de Petrópolis;APA;GR 4;CR - Lagoa Santa;RJ;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;APA de Piacabucu;APA;GR 2;CR - Parnaíba ;AL;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;APA Delta do Parnaiba;APA;GR 2;CR - Parnaíba ;MA/PI/CE;Marinho-Costeiro;;GEF MAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;APA do Igarape Gelado;APA;GR 1;CR - Belém;PA;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;APA do Planalto Central;APA;GR 4;CR - Lagoa Santa;GO/DF;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;APA do Tapajos;APA;GR 1;CR - Oeste do Pará;PA;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3407;APA dos Campos de Manicore;APA;GR 1;CR - Porto Velho;AM;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;APA Ibirapuita;APA;GR 5;GR 5;RS;Pampas;Parada;GEF Terrestre;Parada;;;Parada;;;;;;;;;;;;;Parada;;;;;;;;;;;;;;;;;;;;;;;
24;APA Meandros do Araguaia;APA;GR 3;GR;MT/GO;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;APA Morro da Pedreira;APA;GR 4;CR - Lagoa Santa;MG;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;APA Serra da Ibiapaba;APA;GR 2;CR - Parnaíba ;PI/CE;Caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;APA Serra da Mantiqueira;APA;GR 4;CR - Lagoa Santa;MG/RJ/SP;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1683;APA Serra da Meruoca;APA;GR 2;CR - Parnaíba ;CE;Caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;APA Serra da Tabatinga;APA;GR 2;CR - Parnaíba ;MA/PI;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;ARIE Buriti de Vassununga;ARIE;GR 4;CR - Lagoa Santa;SP;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;ARIE Capetinga-Taquara;ARIE;GR 4;CR - Lagoa Santa;DF;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;ARIE Cerrado Pe-de-Gigante;ARIE;GR 4;CR - Lagoa Santa;SP;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;ARIE Floresta da Cicuta;ARIE;GR 4;CR - Lagoa Santa;RJ;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;ARIE Ilha do Ameixal;ARIE;GR 4;CR - Lagoa Santa;SP;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;ARIE Ilhas da Queimada Pequena e Queimada Grande;ARIE;GR 4;CR - Lagoa Santa;SP;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;ARIE Javari-Buriti;ARIE;GR 1;CR - Manaus;AM;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;ARIE Manguezais da Foz do Rio Mamanguape;ARIE;GR 2;CR - Parnaíba ;PB;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;ARIE Mata de Santa Genebra;ARIE;GR 4;CR - Lagoa Santa;SP;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;ARIE Matao de Cosmopolis;ARIE;GR 4;CR - Lagoa Santa;SP;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;ARIE Projeto Dinamica Biologica de Fragmentos Florestais;ARIE;GR 1;CR - Manaus;AM;Amazonia;Operação;;;;;;;;;;;;;;;;;;;Operação;Operação;;;Operação básico;Operação básico;Operação básico;;;;;;;;;;;;;;;;
44;ARIE Seringal Nova Esperanca;ARIE;GR 1;CR - Porto Velho;AC;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
